City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
190,Arak,IR,34.0917,49.6892,59.0,20,0,0.69,clear sky
191,Lebanon,US,36.2081,-86.2911,67.44,61,0,0.0,clear sky
192,Shelburne,CA,44.0787,-80.2041,60.76,72,79,6.2,broken clouds
193,Cherskiy,RU,68.75,161.3,29.43,96,100,9.33,light snow
194,Umarkot,PK,25.3616,69.7362,80.76,62,0,7.49,clear sky
195,Hollywood,US,34.0983,-118.3267,87.39,72,0,10.36,clear sky
196,Fortuna,US,40.5982,-124.1573,59.94,84,33,1.01,scattered clouds
197,Atasu,KZ,48.6814,71.6433,45.18,41,38,6.2,scattered clouds
198,Portland,US,45.5234,-122.6762,72.95,75,20,4.61,few clouds
199,Ponta Do Sol,PT,32.6667,-17.1,69.71,82,23,6.35,few clouds
200,Antofagasta,CL,-23.65,-70.4,58.28,60,0,9.15,clear sky
201,Half Moon Bay,US,37.4636,-122.4286,80.02,77,100,17.27,fog
202,Airai,TL,-8.9266,125.4092,73.71,52,100,3.27,overcast clouds
203,Great Yarmouth,GB,52.6083,1.7305,50.41,71,0,20.31,clear sky
204,Kurilsk,RU,45.2333,147.8833,46.42,75,100,15.61,overcast clouds
205,Esperance,AU,-33.8667,121.9,57.96,57,24,21.41,few clouds
206,Tendo,JP,38.3536,140.3697,53.53,82,75,2.3,broken clouds
207,Lhokseumawe,ID,5.1801,97.1507,77.16,90,100,4.0,overcast clouds
208,Hualmay,PE,-11.0964,-77.6139,61.23,79,15,9.04,few clouds
209,Ayan,RU,56.45,138.1667,35.71,45,100,18.7,overcast clouds
210,Greenock,GB,55.9484,-4.7612,52.48,90,54,11.99,broken clouds
211,Hamilton,US,39.1834,-84.5333,62.78,65,0,5.75,clear sky
212,Salym,RU,60.0625,71.4789,39.13,97,98,5.53,overcast clouds
213,Vao,NC,-22.6667,167.4833,70.99,60,97,12.1,overcast clouds
214,Villazon,BO,-22.0866,-65.5942,43.68,6,15,12.77,few clouds
215,Codrington,AU,-38.2667,141.9667,62.38,83,100,11.9,overcast clouds
216,Sakakah,SA,29.9697,40.2064,80.17,19,2,4.27,clear sky
217,Upernavik,GL,72.7868,-56.1549,19.4,85,100,4.36,overcast clouds
218,Klaksvik,FO,62.2266,-6.589,49.12,81,85,28.16,overcast clouds
219,Khasan,RU,42.4308,130.6434,48.96,40,73,7.34,broken clouds
220,Dukat,RU,62.55,155.55,12.85,85,100,14.36,overcast clouds
221,Yenagoa,NG,4.9247,6.2642,74.5,95,93,3.94,overcast clouds
222,Shingu,JP,33.7333,135.9833,66.31,72,100,4.38,overcast clouds
223,Mount Gambier,AU,-37.8333,140.7667,60.71,94,100,17.27,overcast clouds
224,Nome,US,64.5011,-165.4064,42.87,75,40,13.8,scattered clouds
225,Saskylakh,RU,71.9167,114.0833,11.91,96,93,5.88,overcast clouds
226,Buta,CD,2.7858,24.73,68.99,99,100,1.83,light rain
227,Rehlingen-Siersburg,DE,49.3667,6.6833,61.07,87,66,9.1,broken clouds
228,Mandalgovi,MN,45.7625,106.2708,39.25,21,2,10.2,clear sky
229,Lata,PT,40.1629,-8.3327,63.81,80,67,2.39,broken clouds
230,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,62,0,4.61,clear sky
231,Campo Verde,BR,-20.4167,-54.0667,72.3,81,51,9.37,broken clouds
232,Gunjur,GM,13.2019,-16.7339,78.87,100,20,5.75,few clouds
233,Sitka,US,57.0531,-135.33,57.09,100,100,9.22,light rain
234,Santa Cruz,BO,-17.8,-63.1667,80.06,74,75,13.8,broken clouds
235,Pacific Grove,US,36.6177,-121.9166,65.8,92,75,6.91,broken clouds
236,Raga,SS,8.4596,25.678,69.01,93,100,1.68,light rain
237,Conceicao Do Araguaia,BR,-8.2578,-49.2647,82.2,34,59,3.09,broken clouds
238,Mehamn,NO,71.0357,27.8492,42.75,75,100,14.97,overcast clouds
239,Lompoc,US,34.6391,-120.4579,78.94,91,100,8.05,mist
240,Salta,AR,-24.7859,-65.4117,82.99,2,0,19.57,clear sky
241,Mashhad,IR,36.297,59.6062,48.34,49,0,0.0,clear sky
242,Chara,RU,56.9064,118.2631,25.5,61,96,3.94,overcast clouds
243,Nanortalik,GL,60.1432,-45.2371,37.92,88,36,14.72,scattered clouds
244,Jurm,AF,36.8648,70.8342,49.89,50,3,0.36,clear sky
245,Bambous Virieux,MU,-20.3428,57.7575,71.85,73,75,10.36,broken clouds
246,Teguldet,RU,57.3064,88.1667,34.07,94,100,6.31,overcast clouds
247,La Palma,US,33.8464,-118.0467,83.82,78,20,10.36,few clouds
248,Sept-Iles,CA,50.2001,-66.3821,50.52,93,75,2.3,broken clouds
249,Thinadhoo,MV,0.5333,72.9333,82.38,75,54,20.85,broken clouds
250,Sakaraha,MG,-22.9,44.5333,67.59,50,0,1.97,clear sky
251,Georgetown,MY,5.4112,100.3354,81.9,87,20,4.61,light rain
252,Goderich,CA,43.7501,-81.7165,59.92,87,100,2.3,overcast clouds
253,Russell,US,32.3502,-85.1999,65.43,77,0,0.0,clear sky
254,Jalingo,NG,8.8833,11.3667,73.8,91,95,1.86,moderate rain
255,Quatre Cocos,MU,-20.2078,57.7625,71.71,80,30,15.12,scattered clouds
256,Erzin,TR,36.9559,36.2,69.1,85,11,2.24,few clouds
257,Prince Rupert,CA,54.3161,-130.3201,60.89,84,75,10.36,broken clouds
258,Guaymitas,HN,15.4979,-87.7147,78.53,95,100,1.34,overcast clouds
259,Balakhta,RU,55.38,91.6,33.48,93,100,10.51,overcast clouds
260,Khatanga,RU,71.9667,102.5,5.25,99,99,3.74,overcast clouds
261,Armenia,AM,40.0,45.0,57.52,27,57,6.55,broken clouds
262,Bilibino,RU,68.0546,166.4372,25.14,93,100,2.77,light snow
263,Imbituba,BR,-28.24,-48.6703,63.09,91,100,10.74,overcast clouds
264,Flinders,AU,-34.5833,150.8552,61.38,92,100,5.99,light rain
265,Vodnyy,RU,63.5046,53.4095,42.21,96,100,5.1,light rain
266,San Quintin,MX,30.4833,-115.95,69.24,81,73,7.02,broken clouds
267,Kudahuvadhoo,MV,2.6708,72.8944,81.25,78,90,19.3,overcast clouds
268,Evensk,RU,61.95,159.2333,29.75,76,92,9.69,overcast clouds
269,Laerdalsoyri,NO,61.098,7.4816,47.93,89,63,7.2,broken clouds
270,Sabha,LY,27.0377,14.4283,69.13,43,0,10.78,clear sky
271,Coahuayana,MX,18.7333,-103.6833,77.41,89,63,0.67,broken clouds
272,Manhattan,US,40.7834,-73.9662,60.62,89,40,11.5,scattered clouds
273,Mogadishu,SO,2.0371,45.3438,76.87,88,16,12.62,few clouds
274,Linshui,CN,36.4247,114.2047,53.15,59,100,5.32,overcast clouds
275,Zhicheng,CN,30.2956,111.5047,49.41,88,100,5.08,overcast clouds
276,Socorro,US,31.6546,-106.3033,74.3,48,75,16.11,broken clouds
277,Tilichiki,RU,60.4667,166.1,37.81,72,62,28.14,light rain
278,Khani,GE,41.9563,42.9566,54.97,99,100,2.51,overcast clouds
279,Karasjok,NO,69.4719,25.5112,39.67,97,100,16.42,overcast clouds
280,Sfantu Gheorghe,RO,45.8667,25.7833,40.93,88,100,0.65,overcast clouds
281,Leh,IN,34.1667,77.5833,43.65,52,0,4.09,clear sky
282,Phetchabun,TH,16.25,101.0833,75.47,83,72,2.84,broken clouds
283,Abu Samrah,SY,35.3029,37.1841,66.33,59,0,2.62,clear sky
284,Tabou,CI,4.423,-7.3528,75.09,92,100,4.09,light rain
285,Northam,GB,51.0333,-4.2167,55.62,72,0,15.84,clear sky
286,Norman Wells,CA,65.282,-126.8329,48.24,66,75,8.05,broken clouds
287,Pasni,PK,25.2631,63.471,77.65,80,0,3.53,clear sky
288,Butte,US,39.6499,-121.5677,86.02,33,0,0.0,clear sky
289,Wadi Maliz,TN,36.4681,8.5495,65.86,72,0,1.95,clear sky
290,Andenes,NO,69.3143,16.1194,46.38,18,75,14.97,light rain
291,Cap Malheureux,MU,-19.9842,57.6142,68.47,76,11,3.0,few clouds
292,Mpika,ZM,-11.8343,31.4529,59.47,53,29,6.58,scattered clouds
293,Margate,GB,51.3813,1.3862,52.3,79,0,4.0,clear sky
294,Lincoln,US,40.8,-96.667,66.27,66,0,5.75,clear sky
295,Ballina,AU,-28.8667,153.5667,68.04,91,100,2.71,overcast clouds
296,Westport,US,41.1415,-73.3579,61.56,88,100,20.71,overcast clouds
297,Angoche,MZ,-16.2325,39.9086,71.06,84,0,5.3,clear sky
298,Bambanglipuro,ID,-7.95,110.2833,78.49,80,100,10.63,overcast clouds
299,Talakan,RU,50.3167,130.3667,40.89,37,34,10.29,scattered clouds
300,Plettenberg Bay,ZA,-34.0527,23.3716,53.44,86,3,6.06,clear sky
301,Truth Or Consequences,US,33.1284,-107.2528,62.91,78,100,8.05,overcast clouds
302,Berlevag,NO,70.8578,29.0864,42.8,81,100,11.5,overcast clouds
